iter, pi
2,3.1405970293260604888
3,3.1416210293250345998
4,3.14159177218217747
5,3.1415926824043996922
6,3.1415926526153087831
7,3.141592653623554937
8,3.1415926535886024038
9,3.1415926535898360226
10,3.141592653589791872
11,3.1415926535897934699
12,3.1415926535897934116
13,3.1415926535897934137
14,3.1415926535897934137
15,3.1415926535897934137
16,3.1415926535897934137
17,3.1415926535897934137
18,3.1415926535897934137
19,3.1415926535897934137
20,3.1415926535897934137
21,3.1415926535897934137
22,3.1415926535897934137
23,3.1415926535897934137
24,3.1415926535897934137
25,3.1415926535897934137
26,3.1415926535897934137
27,3.1415926535897934137
28,3.1415926535897934137
29,3.1415926535897934137
30,3.1415926535897934137
31,3.1415926535897934137
32,3.1415926535897934137
33,3.1415926535897934137
34,3.1415926535897934137
35,3.1415926535897934137
36,3.1415926535897934137
37,3.1415926535897934137
38,3.1415926535897934137
39,3.1415926535897934137
40,3.1415926535897934137
41,3.1415926535897934137
42,3.1415926535897934137
43,3.1415926535897934137
44,3.1415926535897934137
45,3.1415926535897934137
46,3.1415926535897934137
47,3.1415926535897934137
48,3.1415926535897934137
49,3.1415926535897934137
50,3.1415926535897934137
51,3.1415926535897934137
52,3.1415926535897934137
53,3.1415926535897934137
54,3.1415926535897934137
55,3.1415926535897934137
56,3.1415926535897934137
57,3.1415926535897934137
58,3.1415926535897934137
59,3.1415926535897934137
60,3.1415926535897934137
61,3.1415926535897934137
62,3.1415926535897934137
63,3.1415926535897934137
64,3.1415926535897934137
65,3.1415926535897934137
66,3.1415926535897934137
67,3.1415926535897934137
68,3.1415926535897934137
69,3.1415926535897934137
70,3.1415926535897934137
71,3.1415926535897934137
72,3.1415926535897934137
73,3.1415926535897934137
74,3.1415926535897934137
75,3.1415926535897934137
76,3.1415926535897934137
77,3.1415926535897934137
78,3.1415926535897934137
79,3.1415926535897934137
80,3.1415926535897934137
81,3.1415926535897934137
82,3.1415926535897934137
83,3.1415926535897934137
84,3.1415926535897934137
85,3.1415926535897934137
86,3.1415926535897934137
87,3.1415926535897934137
88,3.1415926535897934137
89,3.1415926535897934137
90,3.1415926535897934137
91,3.1415926535897934137
92,3.1415926535897934137
93,3.1415926535897934137
94,3.1415926535897934137
95,3.1415926535897934137
96,3.1415926535897934137
97,3.1415926535897934137
98,3.1415926535897934137
99,3.1415926535897934137
