iter, pi
2,3.1172839506172838968
3,3.1455761316872427452
4,3.1408505617610555354
5,3.1417411974336889981
6,3.1415615878775910064
7,3.1415993409661985098
8,3.1415911843609066762
9,3.1415929813345668232
10,3.1415925796063511582
11,3.1415926704506858761
12,3.1415926497167881945
13,3.1415926544853486142
14,3.1415926533815394684
15,3.1415926536384580505
16,3.1415926535783725141
17,3.1415926535924834839
18,3.1415926535891573297
19,3.1415926535899439198
20,3.1415926535897573568
21,3.1415926535898017224
22,3.1415926535897911469
23,3.1415926535897936733
24,3.1415926535897930685
25,3.1415926535897932136
26,3.1415926535897931787
27,3.1415926535897931871
28,3.141592653589793185
29,3.1415926535897931854
30,3.1415926535897931854
31,3.1415926535897931854
32,3.1415926535897931854
33,3.1415926535897931854
34,3.1415926535897931854
35,3.1415926535897931854
36,3.1415926535897931854
37,3.1415926535897931854
38,3.1415926535897931854
39,3.1415926535897931854
40,3.1415926535897931854
41,3.1415926535897931854
42,3.1415926535897931854
43,3.1415926535897931854
44,3.1415926535897931854
45,3.1415926535897931854
46,3.1415926535897931854
47,3.1415926535897931854
48,3.1415926535897931854
49,3.1415926535897931854
50,3.1415926535897931854
51,3.1415926535897931854
52,3.1415926535897931854
53,3.1415926535897931854
54,3.1415926535897931854
55,3.1415926535897931854
56,3.1415926535897931854
57,3.1415926535897931854
58,3.1415926535897931854
59,3.1415926535897931854
60,3.1415926535897931854
61,3.1415926535897931854
62,3.1415926535897931854
63,3.1415926535897931854
64,3.1415926535897931854
65,3.1415926535897931854
66,3.1415926535897931854
67,3.1415926535897931854
68,3.1415926535897931854
69,3.1415926535897931854
70,3.1415926535897931854
71,3.1415926535897931854
72,3.1415926535897931854
73,3.1415926535897931854
74,3.1415926535897931854
75,3.1415926535897931854
76,3.1415926535897931854
77,3.1415926535897931854
78,3.1415926535897931854
79,3.1415926535897931854
80,3.1415926535897931854
81,3.1415926535897931854
82,3.1415926535897931854
83,3.1415926535897931854
84,3.1415926535897931854
85,3.1415926535897931854
86,3.1415926535897931854
87,3.1415926535897931854
88,3.1415926535897931854
89,3.1415926535897931854
90,3.1415926535897931854
91,3.1415926535897931854
92,3.1415926535897931854
93,3.1415926535897931854
94,3.1415926535897931854
95,3.1415926535897931854
96,3.1415926535897931854
97,3.1415926535897931854
98,3.1415926535897931854
99,3.1415926535897931854
