iter,pi,tol
1,3.1405792505221685751,-1
2,3.1415926462135428388,-1
3,3.1415926535897940042,-1
4,3.1415926535897940042,-1
5,3.1415926535897940042,-1
6,3.1415926535897940042,-1
7,3.1415926535897940042,-1
8,3.1415926535897940042,-1
9,3.1415926535897940042,-1
10,3.1415926535897940042,-1
11,3.1415926535897940042,-1
12,3.1415926535897940042,-1
13,3.1415926535897940042,-1
14,3.1415926535897940042,-1
15,3.1415926535897940042,-1
16,3.1415926535897940042,-1
17,3.1415926535897940042,-1
18,3.1415926535897940042,-1
19,3.1415926535897940042,-1
20,3.1415926535897940042,-1
21,3.1415926535897940042,-1
22,3.1415926535897940042,-1
23,3.1415926535897940042,-1
24,3.1415926535897940042,-1
25,3.1415926535897940042,-1
26,3.1415926535897940042,-1
27,3.1415926535897940042,-1
28,3.1415926535897940042,-1
29,3.1415926535897940042,-1
30,3.1415926535897940042,-1
31,3.1415926535897940042,-1
32,3.1415926535897940042,-1
33,3.1415926535897940042,-1
34,3.1415926535897940042,-1
35,3.1415926535897940042,-1
36,3.1415926535897940042,-1
37,3.1415926535897940042,-1
38,3.1415926535897940042,-1
39,3.1415926535897940042,-1
40,3.1415926535897940042,-1
41,3.1415926535897940042,-1
42,3.1415926535897940042,-1
43,3.1415926535897940042,-1
44,3.1415926535897940042,-1
45,3.1415926535897940042,-1
46,3.1415926535897940042,-1
47,3.1415926535897940042,-1
48,3.1415926535897940042,-1
49,3.1415926535897940042,-1
50,3.1415926535897940042,-1
51,3.1415926535897940042,-1
