iter,pi,tol
2,3.1414477818079098448,-1
3,3.1415942688431028884,-1
4,3.1415926339722610727,-1
5,3.1415926538404770341,-1
6,3.1415926535864797664,-1
7,3.1415926535898375249,-1
8,3.1415926535897922278,-1
9,3.1415926535897926719,-1
10,3.1415926535897926719,-1
11,3.1415926535897926719,-1
12,3.1415926535897926719,-1
13,3.1415926535897926719,-1
14,3.1415926535897926719,-1
15,3.1415926535897926719,-1
16,3.1415926535897926719,-1
17,3.1415926535897926719,-1
18,3.1415926535897926719,-1
19,3.1415926535897926719,-1
20,3.1415926535897926719,-1
21,3.1415926535897926719,-1
22,3.1415926535897926719,-1
23,3.1415926535897926719,-1
24,3.1415926535897926719,-1
25,3.1415926535897926719,-1
26,3.1415926535897926719,-1
27,3.1415926535897926719,-1
28,3.1415926535897926719,-1
29,3.1415926535897926719,-1
30,3.1415926535897926719,-1
31,3.1415926535897926719,-1
32,3.1415926535897926719,-1
33,3.1415926535897926719,-1
34,3.1415926535897926719,-1
35,3.1415926535897926719,-1
36,3.1415926535897926719,-1
37,3.1415926535897926719,-1
38,3.1415926535897926719,-1
39,3.1415926535897926719,-1
40,3.1415926535897926719,-1
41,3.1415926535897926719,-1
42,3.1415926535897926719,-1
43,3.1415926535897926719,-1
44,3.1415926535897926719,-1
45,3.1415926535897926719,-1
46,3.1415926535897926719,-1
47,3.1415926535897926719,-1
48,3.1415926535897926719,-1
49,3.1415926535897926719,-1
