iter,pi,tol
2,2.6666666666666669627 0
3,3.4666666666666667851 0
4,2.8952380952380956103 0
5,3.3396825396825402521 0
6,2.9760461760461764946 0
7,3.2837384837384844261 0
8,3.0170718170718178186 0
9,3.2523659347188766944 0
10,3.0418396189294032439 0
11,3.2323158094055939316 0
12,3.0584027659273331778 0
13,3.21840276592733332 0
14,3.0702546177791854021 0
15,3.2081856522619438543 0
16,3.0791533941974278399 0
17,3.2003655154095489443 0
18,3.0860798011238346206 0
19,3.1941879092319425126 0
20,3.0916238066678398688 0
21,3.189184782277596053 0
22,3.0961615264636423994 0
23,3.1850504153525314166 0
24,3.0999440323738078895 0
25,3.1815766854350324699 0
26,3.1031453128860126967 0
27,3.1786170109992202271 0
28,3.1058897382719474756 0
29,3.1760651768684384777 0
30,3.1082685666989471329 0
31,3.1738423371907504844 0
32,3.1103502736986872179 0
33,3.1718887352371485377 0
34,3.1121872426998349326 0
35,3.1701582571925883691 0
36,3.1138202290235743597 0
37,3.1686147495715193401 0
38,3.1152814162381861074 0
39,3.1672294681862380727 0
40,3.1165965567938331837 0
41,3.165979272843215675 0
42,3.1177865017588781704 0
43,3.1648453252882897679 0
44,3.1188683137940369505 0
45,3.1638121340187561614 0
46,3.1198560900627123615 0
47,3.1628668427508843664 0
48,3.1207615795929894986 0
49,3.1619986929950512078 0
50,3.1215946525910109877 0
51,3.1611986129870506268 0
52,3.1223636615307399644 0
53,3.1604588996259779243 0
54,3.1230757220558844622 0
55,3.1597729697623062606 0
56,3.1237369337262701485 0
57,3.1591351638147657788 0
58,3.1243525551191138057 0
59,3.1585405893071478722 0
60,3.1249271439289967311 0
61,3.1579849951686660425 0
62,3.1254646699654138331 0
63,3.1574646699654138615 0
64,3.1259686069732879332 0
65,3.1569763589112724844 0
66,3.1264420077662342656 0
67,3.1565171957361588539 0
68,3.1268875661065291816 0
69,3.1560846463984999488 0
70,3.1273076679812339407 0
71,3.1556764623074751164 0
72,3.1277044343354472034 0
73,3.1552906412319989826 0
74,3.1280797568782574558 0
75,3.1549253944621500345 0
76,3.1284353282369843363 0
77,3.154579119086657446 0
78,3.1287726674737541543 0
